,Unnamed: 0,speaker,dialogue,file,file_index,saha_page,saha_loc,hearing_type,location,file_num,date,split_dialogue,x,y,hdbscan_labels
8913,7868,MR STEENKAMP,"You see, something which I don't understand at all in your amnesty application, because none of this is included in your amnesty application, nowhere are you stating that the second objective of your group or of yourself was to kill people, you're only saying in your whole application it was to get money, that was your only objective, a financial one, nothing about to kill other people or that you were instructed implicitly or whatever.  Can you explain that to me?",../data/data_saha\amnesty_hearings\bloemfontein\52818.json,68,https://sabctrc.saha.org.za/documents/amntrans/bloemfontein/52818.htm,84,Amnesty Hearings,Bloemfontein,52818,1998-08-18,"You see, something which I don't understand at all in your amnesty application, because none of this is included in your amnesty application, nowhere are you stating that the second objective of your group or of yourself was to kill people, you're only saying in your whole application it was to get money, that was your only objective, a financial one, nothing about to kill other people or that you were instructed implicitly or whatever  Can you explain that to me",4.8353157,8.319796,416
464210,414097,MR HUGO,Last aspect.  Did you at any stage after this occurrence report to the Chief of the Security Police in Pretoria that you had been involved in this incident.,../data/data_saha\amnesty_hearings\port_elizabeth\54807.json,251,https://sabctrc.saha.org.za/documents/amntrans/port_elizabeth/54807.htm,320,Amnesty Hearings,Port Elizabeth,54807,UNKNOWN,Last aspect  Did you at any stage after this occurrence report to the Chief of the Security Police in Pretoria that you had been involved in this incident,8.28997,6.2937427,-1
157028,140954,GIDEON JOHANNES NIEWOUDT,"That is correct Mr Chairperson, I don't know but Goosen read through our affidavits.",../data/data_saha\amnesty_hearings\cape_town\54684.json,635,https://sabctrc.saha.org.za/documents/amntrans/cape_town/54684.htm,680,Amnesty Hearings,Cape Town,54684,1998-03-30,"That is correct Mr Chairperson, I don't know but Goosen read through our affidavits",6.7434373,8.508899,-1
330590,297195,FREDERICK JACOBUS BADENHORST,"Each one was asked who shot.   Everybody said that they did shoot, those who had firearms.   And someone was asked to go and get a bag from the Mercedes.",../data/data_saha\amnesty_hearings\johannesburg\52696.json,496,https://sabctrc.saha.org.za/documents/amntrans/johannesburg/52696.htm,546,Amnesty Hearings,Johannesburg,52696,1998-06-09,"Each one was asked who shot   Everybody said that they did shoot, those who had firearms   And someone was asked to go and get a bag from the Mercedes",9.148076,2.587624,1618
147956,132738,NICLO PEDRO,"I must mention that I was arrested on the Saturday morning the 15th of August, on the 16th of August I arrived in Cape Town - that was the Sunday because they drove me down to Cape Town overnight.  I didn't sleep at all that night, I was also a little bit hungry.  Whilst I was being interrogated they also asked me whether I wanted to eat something and I said yes, I would like to eat something.  They then gave me - I think if I recall correctly, chips and the reason why I'm mentioning this is that it was offered to me - the food and every time that I wanted to take something to eat they would bring it to my mouth and then pull back as soon as I wanted to bite it.   So in affect I had nothing to eat.
	And my further experiences as regards this interrogation were that I was hit - I was physically hit by Benzien and Nortje, more so by Benzien than by Nortje.   On that specific Sunday they had already earlier on that day, asked me whether I wanted to make a statement in front of a Magistrate and I said that I didn't want to make a statement and that I wasn't prepared to do that.  
	But there was this one specific incident - in the process of giving them some information, they wanted to know from me who these people were that I was supposed to have met in Lesotho.  I was given instructions to carry a letter which I should not open until such time as I had crossed the Lesotho border and then I would find out who these people were and where I was supposed to meet them.  And I followed these instructions, I didn't open the letter.
	When I was arrested, I did away with the letter.  When they questioned me about this I answered them and I think to my regret, I said to them that I'd eaten the letter.   When I told them this, Benzien told me that he wanted to know who these people were that I was supposed to meet in Lesotho.  He then took me out of that room in the Culemborg building and took me to a different place, it was somewhere at the back of a building.  I can recall that we went past some steps and we went round the back and it was almost an open plan type of room.  
	There he told me that I should defecate because he wanted to actually get this letter out of my stomach.  And whilst I was busy defecating he put plastic gloves, surgical gloves on his hands and he put his hand into my anus.  When I told him what he was doing would not get the letter back - when the full knowledge that I hadn't actually swallowed or eaten the letter, he then took a broom which was standing close by and he then pressed this into my anus to try and get hold of the letter.
	There was very little which actually came out of my stomach because I hadn't had a lot to eat and as far as I can recall yes, there wasn't much that came out of my stomach.  I can't recall very specifically what period of time this was but from quite late that day I was really quite tired, I was very sleepy.  The interrogation took place during the whole of that day and it was late that night when I started giving out information to Benzien.  It was that night - if I recall correctly, that I went to point out houses belonging to my comrades. 
	He took me along specifically, he covered my head - that I can recall, when he was driving with me.  Furthermore when I was taken to the Sea Point police cells, I was handcuffed - my feet were handcuffed to the bed and basically I fell asleep because I was so tired.  I was forced to urinate and to defecate whilst I was so manacled to the bed or handcuffed to the bed.  In any event, the point I'm trying to make is that in that time they brought some of my comrades in there and they told them that I'm the one that's responsible for their arrests, that I'm the one that's working with them.
	I can clearly remember Anwar Dramat told me he was in my cell, I don't know about that.  But whenever they wanted to question me they would wake me up and take me back to Culemborg.  I think that's my experiences with this man Benzien.  I developed a - he installed a fear in me.  When other security policemen came to me I would feel more relaxed but when Benzien comes to me, it was difficult for me to be relaxed.  
	He was the type of person that - he can speak to you very nicely and he can come across as the world's friendliest person and within a second he can change and he become and behave like an animal.  That's how I experienced him.",../data/data_saha\amnesty_hearings\cape_town\54671.json,761,https://sabctrc.saha.org.za/documents/amntrans/cape_town/54671.htm,911,Amnesty Hearings,Cape Town,54671,1997-10-20,"   When I told them this, Benzien told me that he wanted to know who these people were that I was supposed to meet in Lesotho  He then took me out of that room in the Culemborg building and took me to a different place, it was somewhere at the back of a building  I can recall that we went past some steps and we went round the back and it was almost an open plan type of room  
	There he told me that I should defecate because he wanted to actually get this letter out of my stomach",7.724921,6.1127877,-1
429726,384471,BERNARD MAKGABO NGOEPE,"Especially if they are on foot, they are not ...",../data/data_saha\amnesty_hearings\nelspruit\54765.json,231,https://sabctrc.saha.org.za/documents/amntrans/nelspruit/54765.htm,240,Amnesty Hearings,Nelspruit,54765,1997-06-12,"Especially if they are on foot, they are not ",10.32792,2.7970893,1340
576266,513289,MR LYSTER,"Mr Molebalwa, are you able to hear me throughthe earphones? Can you hear me clearly?",../data/data_saha\human_rights_violation_hearings\bloemfontein\56203.json,49,https://sabctrc.saha.org.za/documents/hrvtrans/bloemfontein/56203.htm,51,Human Rights Violation Hearings,Bloemfontein,56203,UNKNOWN,"Mr Molebalwa, are you able to hear me throughthe earphones Can you hear me clearly",12.243186,9.330468,512
448331,400197,WILLEM JOHANNES VAN DER MERWE,Yes I think it is reasonable to accept if you are in confrontation with each other that you can view it as low intensity warfare.,../data/data_saha\amnesty_hearings\pietersburg\54786.json,390,https://sabctrc.saha.org.za/documents/amntrans/pietersburg/54786.htm,446,Amnesty Hearings,Pietersburg,54786,1997-07-01,Yes I think it is reasonable to accept if you are in confrontation with each other that you can view it as low intensity warfare,10.227695,6.026665,1478
362029,325232,MR LAX,"Now, you, who had gone to find him, yourself and Mkhwanazi?",../data/data_saha\amnesty_hearings\johannesburg\53206.json,675,https://sabctrc.saha.org.za/documents/amntrans/johannesburg/53206.htm,694,Amnesty Hearings,Johannesburg,53206,1999-02-16,"Now, you, who had gone to find him, yourself and Mkhwanazi",10.489577,5.310753,-1
185668,167348,MS THABETE,"Yes Mr Chairman.  If Mr Chair would bear with me, Mr Dlamini, you say you were appointed, were you appointed or elected as a leader of the SDU's?",../data/data_saha\amnesty_hearings\durban\53073.json,177,https://sabctrc.saha.org.za/documents/amntrans/durban/53073.htm,234,Amnesty Hearings,Durban,53073,1998-12-02,"Yes Mr Chairman  If Mr Chair would bear with me, Mr Dlamini, you say you were appointed, were you appointed or elected as a leader of the SDU's",11.349623,7.8375983,-1
377391,339007,SISI KHAMPEPE,So you are hearing that name for the first time so to speak?,../data/data_saha\amnesty_hearings\johannesburg\54727.json,2155,https://sabctrc.saha.org.za/documents/amntrans/johannesburg/54727.htm,2918,Amnesty Hearings,Johannesburg,54727,UNKNOWN,So you are hearing that name for the first time so to speak,13.775505,5.5958753,-1
536501,479979,ANDRIES MATANZIMA NOSENGA,"Yes, I said that is correct, because Brian came in the company of Mr Berger.",../data/data_saha\amnesty_hearings\vanderbijlpark\53380.json,762,https://sabctrc.saha.org.za/documents/amntrans/vanderbijlpark/53380.htm,791,Amnesty Hearings,Vanderbijlpark,53380,1999-05-10,"Yes, I said that is correct, because Brian came in the company of Mr Berger",11.029401,11.1102915,530
680375,586637,MS GOBODO,"So, you had no idea about it?  No idea  obvious no idea but where they came from?  No idea of the Vlakplaas connection?",../data/data_saha\human_rights_violation_hearings\pollsmoor\55774.json,49,https://sabctrc.saha.org.za/documents/hrvtrans/pollsmoor/55774.htm,141,Human Rights Violation Hearings,Pollsmoor,55774,1996-11-28,"So, you had no idea about it  No idea  obvious no idea but where they came from  No idea of the Vlakplaas connection",7.575986,6.559568,801
318518,286476,PAULOS PISTOL NKONYANE,"I am not a member of the SDU, I am a soldier, an MK soldier and what I would like the Committee to know is that when I refer to my Commander, I am not saying that when I carried out the orders I should take the Commander with.  It would be myself and whoever is accompanying me.",../data/data_saha\amnesty_hearings\ermelo\52734.json,48,https://sabctrc.saha.org.za/documents/amntrans/ermelo/52734.htm,50,Amnesty Hearings,Ermelo,52734,1998-07-29,"I am not a member of the SDU, I am a soldier, an MK soldier and what I would like the Committee to know is that when I refer to my Commander, I am not saying that when I carried out the orders I should take the Commander with  It would be myself and whoever is accompanying me",10.575873,6.6716704,-1
629904,552059,JUNE CRICHTON,That is fine.,../data/data_saha\human_rights_violation_hearings\king_william's_town\55489.json,7,https://sabctrc.saha.org.za/documents/hrvtrans/king_william's_town/55489.htm,9,Human Rights Violation Hearings,King William's Town,55489,1997-05-14,That is fine,14.83079,7.0013037,-1
312749,281434,ANDRIES MOZIKEFANI GAMEDE,"Okay.  In 1990 out of the unbanning of the democratic forces, I think in my perception as a person who was in Piet Retief at that time, I think the security forces, if you look in terms of the 80s, they were more involved with operations that were actually directed to members of the ANC.  Obviously the community was quite surprised in Piet Retief, you couldn't have a meeting.  There were a thousand procedures.
	Actually 1989 we had the so-called election of the local council and us as democratic forces, I was already there in Piet Retief, we actually opposed the elections of the council.  It was a policy that as master democratic movement we actually opposed the question of the re-election of councillors.  But, however, people stood which meant that whoever was part of those elections was actually supporting the policies of the former Government which we didn't recognise, the Nationalist Party.  Under these circumstances, I think the person who got the highest vote in those elections, because we actually had campaigned in the community to oppose those elections, I think it was Mr Msibi.  I think he got about six hundred (600) votes and the others got about fifty two (52) and some of them were just elected unopposed, because nobody actually opposed them.  So, we had a council now which was formally established which was actually representing the Nationalist Party from 1989.  Then Mayor Mr Vilikazi became the Mayor and we actually campaigned as the community to say that they must resign as councillors because we believed that the system that they were representing was not representing the people of South Africa.  
	Then the perception from the community was that these people must resign and it seemed that in 1990 when the unbanning came, the security forces had a change of strategy because now they were forced to have an ANC which was inside the country which was legal.  Now, they had to deal with an ANC which was in Piet Retief which they were not sure who is MK, who is what.  As we understand, that there was then an internal decision that was taken because it was seen that Mr Vilikazi was not actually enforcing the police of the Nationalist Party in order to ensure that his oppressors, he was given a free trip to Germany.  
	When he returned from that trip he was overthrown by Mr Msibi who then became the Mayor.  When he came back from that trip he was already removed as the Mayor of Piet Retief.  I mean it's a township because that time you had four councils.  So, it was the way of the township.  Then Msibi took over in around 1990 and that's where we actually experienced a lot of difficulties as communities. We couldn't hold meetings because we were not allowed to have meetings, to call meetings, we had to use churches because you will be told that the council must sit before you can get a hall and they are not sure when the council is going to sit.  
	Then in 1990, I think it was around March, the community obviously, because they were demanding that the councillors must resign, water was cut in the township.  And that's when things went worse in 1990, when the water was cut.  Then there was an attempt at that time to kidnap  myself and Councillor Thabede.  I wouldn't say, there were a lot of people who were injured, some were shot with rubber bullets who are still carrying those rubber bullets because of that situation, you know.  When they tried to kidnap us, unfortunately there were people around.  We then approached Baklender who is now the Director-General of Land Affairs.  He actually issued, I think that's what actually saved our lives, he issued a letter to Piet Retief to the commander in chief of the security branch which were actually mostly involved with the covert operations.  I think that's what actually tried to save our life at that time, but as I have mentioned, that I wouldn't count who was hurt and what-what.  Some students were shot in schools.  
	The situation was just chaotic, and we then received information at that time that there was a small gang calling themselves PAC.  I think there was an attempt to create a gangster which, when we discussed with our own colleagues in Ermelo, it seems as if the same thing was happening where they will come up with a small gangster and that gangster was actually trying to destabilise the community.  In one of the community meetings, I think it was 1991, there was an announcement that was made by the Mayor Mr Msibi that he needed people who are looking for jobs, and those people were actually bused to Gauteng.  In Gauteng, as we believe, because most of them came back because they were just ... (indistinct), but they told me that they were looking for work.  They were actually going there to be trained.  Then around 1990/91 ... (intervention)",../data/data_saha\amnesty_hearings\ermelo\52724.json,38,https://sabctrc.saha.org.za/documents/amntrans/ermelo/52724.htm,40,Amnesty Hearings,Ermelo,52724,1998-07-20,"  
	Then in 1990, I think it was around March, the community obviously, because they were demanding that the councillors must resign, water was cut in the township  And that's when things went worse in 1990, when the water was cut  Then there was an attempt at that time to kidnap  myself and Councillor Thabede  I wouldn't say, there were a lot of people who were injured, some were shot with rubber bullets who are still carrying those rubber bullets because of that situation, you know",9.788312,4.73863,1571
343766,308879,MR PRINSLOO,"So you were given to understand that they would be in possession of these people, that you would take it from their person?",../data/data_saha\amnesty_hearings\johannesburg\52901.json,399,https://sabctrc.saha.org.za/documents/amntrans/johannesburg/52901.htm,403,Amnesty Hearings,Johannesburg,52901,1998-10-14,"So you were given to understand that they would be in possession of these people, that you would take it from their person",12.431624,5.0642276,-1
533838,477411,ADV SIGODI,"Sorry Mr Lowies, I just want to get some clarity, are your instructions that there was no meeting on the 14th specifically, or  there was no meeting which took place just shortly before the Boipatong attack?",../data/data_saha\amnesty_hearings\vanderbijlpark\53378.json,742,https://sabctrc.saha.org.za/documents/amntrans/vanderbijlpark/53378.htm,763,Amnesty Hearings,Vanderbijlpark,53378,1999-05-06,"Sorry Mr Lowies, I just want to get some clarity, are your instructions that there was no meeting on the 14th specifically, or  there was no meeting which took place just shortly before the Boipatong attack",10.339342,4.3586283,-1
696981,597466,ALBERT AMANDLA NANGALEMBE,"Thank you Chairman as well as the Commissioners.
 The first thing I am going to talk about is my brother, that was the youngest, he was the last born, Christopher Mpigelele Nangalembe.  I am talking about his as a member of the ANC's League at zone 7, they used to call it Chief Luthuli.  It is quite true, according to what has been said that Christopher Nangalembe was one of the members of the Crime Prevention Unit within the ANC and it is quite correct that Christopher Nangalembe used to stay at Zone 7. They were friends with Ketisi.   He was commonly known as ""The Vaal Monster"".
 I will just give you a brief outline as to Christopher Nangalembe's life before all these things took place.  The name 'Mpigelele', I don't know how my mother gave Mpigelele this name.  He used to be very persevering whenever he wanted to do something he would insist persevere and push forward.  Maybe if we did not - he wanted to be a policeman and he wanted peace amongst the community.  But even besides that, I personally I was against the manner in which the 
HRV/312 police/...
3
police dealt with the community.  That was before the unbanning of the political organisations.  He tried to persist because his friends were policemen and they are still policemen.  Immediately thereafter the political organisations were banned, namely PAC and ANC and he was happy when this happened.  He was one of the people who were happy to see Mandela being released from Robben Island.  He started taking part in helping the community.
 On the 5th of a Saturday morning my mother received a phone call.  This phone call arrived at Maria's Hair Salon who is now deceased.  This call was telling my mother that they wanted to get Chris, if they couldn't get Chris they were going to kill us all and they were going to burn down the house.  My mother sent my sister, who comes after me, I was staying in Zone 10 at that particular time, just behind the mountain at Small Farm, they came to tell me that they have received this message.  At that time, that particular Saturday, just the Tuesday before that Saturday after New Year there was an altercation amongst the comrades and Ketisi.  At that time they were trying to solve that problem that is besides having to shed blood, they wanted to negotiate.  Chris was witness in a case of an abduction. He was taken by Ketisi and Ketisi made him to drink acid.  Fortunately Chris went straight to Ketisi and told him straight that since he had done this deed he was not going to leave him alone, he was going to tell people that he had done this.  Probably that was the first incident that make Ketisi to be notorious.  And the second was all those things that Ketisi's mother has already related about.
 On that particular Saturday when the negotiations were supposed to take place I discovered that Chris was not at 
HRV/312 home/...
4
home, he had gone to Zone 12 where he had gone to install a ceiling in a certain house.  At Ketisi's place there was a Granada, it's the big model.  As Chris was proceeding towards his customer's place these people approached him driving this Granada from Ketisi's place.  I think one of them was a member of the IFP.  His surname is Gubeka, but I've forgotten what his name is.  Just as he was approaching the gate this Granada accosted him.  There was Hunter inside.  There was Zanzi.  There was Temba.  I don't remember the last one.  Zanzi is the one who grabbed Chris and threw him into the car.  Somebody saw this happening, an eye witness.  It was at about 5 o'clock in the afternoon and during summer it's still very bright.  They took Chris into a certain yard, that is Ketisi's yard, that's where they parked the car.  As the car was still parked there somebody was sent to me to come and tell me that Chris was taken, as we had got the message before that they wanted to take Chris.  I went back home.  I also had a Colt Chrysler.  I drove - this Cold Chrysler was always spotted by the police but I will not explain as to why they wanted this car because the real matter here is about Chris.  When I arrived at home I told my mother that I wanted to go and see as to what was happening with Chris.  Just as I got to Ketisi's place it was the next street I came across Lucky Mboyana, he warned me not to go there because these people were fully armed.  I wanted to go and negotiate and find out as to why they had taken my brother.  I had not thought of them as being armed and they would want to kill me. I just wanted to know the reason behind the abduction of my brother.  I am really sorry that I had to mention Lucky Mboyana's name.  He prevented me from going there.  He said I should go to 
HRV/312 Vietnam/...
5
Vietnam to fetch some comrades that I knew.  According to my recollection Adrian Vlok at that time was the Minister of Justice, he asked that if there's anybody who is having arms should be reported to the police station.  I had decided that I should go to the police station and be a law-abiding citizen.  I went to the Houtkop Police station, when I got there to report that my brother had been abducted and he was at Ketisi's place the police told me that they were afraid to go there.  They told me that if I was talking about Ketisi, Ketisi was armed to the teeth and they did not want to tamper with him.  These were the policemen who were telling me this.  These policemen were on duty on a Saturday and if they could be identified I could be happy because they made me a laughing stock at the time when I went to report this to them.  I decided to go to the comrades at Vietnam but somehow I was confused because I knew that there was going to be violence.  Now I asked them as to what I was supposed to do because they were supposed to be the ones who were protecting the citizens.  They told me that Ketisi and his friends were fully armed. 
 The second thing they told me that they didn't know the number of the house.  They knew that it's just a house but I must bring the number to them.  Now I told them that if I go to seek the number I had to come back to the police station to furnish them with the number.  Now I went to look.  I saw the Granada at Ketisi's place.  You know your brother, even if it can be at night, I looked inside the Granada my brother was sitting inside and he was in the middle.  My intention was to look at the number of the house at Ketisi's place.  I was not able, because at that time when I was passing this Granada went out of the yard and 
HRV/312 tried/...
6
tried to follow me.  I took a turn at Xindi's Street, that is proceeding towards my own street. Zanzi was also staying at my street.  I saw the Granada following me.  I thought maybe they were taking Zanzi to his place.  They followed me and I went inside to tell my mother.  The Granada passed slowly as I went in.  At my place there's a big light and it's very bright.  As they turned in the Granada I saw my brother with my own eyes.  Maybe they had told him that he must come and bid us goodbye.  I was looking at my brother as he was inside the car.  I shall excuse myself because I've already mentioned the name of the person who was also involved who was in the car when my brother was being taken away. When this car took the turn towards the taxi rank I tried to rush out to go to my uncle and report.  My uncle is David Ncube.  I wanted him to phone the police and tell them that something had happened.   As I was going out the Granada chased me from Zone 7.  I was busy going around flicking to the police that they should help me because I was being chased by this Granada.  They never bothered to help me until I got to the police station, and when I got to the police station this car was following me and I didn't stop at the stop signs because I was scared for my life.  I thought that as the police had realised that there was a car chasing another one they should have made a follow-up.  But because it was known that it was a car that was sent to do its job that is why the police did not follow the car.  I got to the police station and at that time I was coming for the second time, I stopped and jumped into the police station and I said to the police I'm being chased.  They just looked at me as if I was mad. And at that time a third car came, that is the second car that was chasing me.  There HRV/312 were/...
7
were three men inside that car, they were armed with guns.  They did not leave their guns where they were supposed to leave them at the reception.  They came with their guns and they stood beside me whilst I was complaining to the police only to find it was the same group that was travelling with Ketisi and they wanted to know what I was saying to the police at that time.  The person I was with at the time warned me not to continue talking because these people had come to hear what I was going to say.  I don't know whether the police called a riot squad or if the police of Vanderbijl they called them to come and take me to Vanderbijl.  I told them that the car had just passed, it's heading to Boipatong with my brother.  They were insisting that they wanted to go back to Ketisi's place and they told me that I must keep quiet and I must listen to them.  I was not going to give them a directive as to what they should do as the policemen. The riot squad came.  They were travelling in two vans.  They said I should escort them to Ketisi's place.  We went to Ketisi's place.  I was just going there because I had no alternative.  I thought maybe it's the procedure.  When we got there I stopped my car at the corner so that they might go alone.  They surrounded the house and it was pointless for them to have done that because Ketisi and my brother were not there as well as his group.  They got in there and they tried to investigate as to where Ketisi was. They said they don't know where Ketisi had gone to and they told me to go and sleep because these people were not there and they said I should come back the following day at the police station.  I reported this to my mother and I told my mother that the police refused to help me.  I went to sleep. At the time I was the Chairman of the HRV/312 Child/...
8
Child Welfare Tusonang(?) in Sebokeng, there was a meeting the following day that I had to attend.  When I was still in that meeting there's another gentleman with whom I was staying at Zone 10.  When he got in I could see it in his face that he was going to report to me that my brother had died but that did not surprise me because I was expecting it at any time.  When he got to me he said he had come to fetch me I should go home.  
 When I got home I got my mother as well as my aunt.  They had already got a message that Ketisi, that Chris was found at a dumping site in Boipatong.  Well that did not really surprise me because that is the direction they headed for when they had taken Chris.  I decided not to follow them in this because I felt that probably my mother could lose me also.  We got Chris at the dumping site.  He was tied, his throat was tied with a wire and this wire was twisted with a pair of pliers.  People saw him in the morning they could only identify him with his ANC card that he used to carry with.",../data/data_saha\human_rights_violation_hearings\sebokeng\55879.json,9,https://sabctrc.saha.org.za/documents/hrvtrans/sebokeng/55879.htm,13,Human Rights Violation Hearings,Sebokeng,55879,1996-08-06,"  Just as I got to Ketisi's place it was the next street I came across Lucky Mboyana, he warned me not to go there because these people were fully armed  I wanted to go and negotiate and find out as to why they had taken my brother  I had not thought of them as being armed and they would want to kill me I just wanted to know the reason behind the abduction of my brother",8.769493,4.0922546,-1
591166,524504,TESTIMONY_GIVER:,  They first killed my brother at work.  They killed him at the stop.  From there they went to attack my mother and my father.  They killed both of them.,../data/data_saha\human_rights_violation_hearings\durban\56207.json,13,https://sabctrc.saha.org.za/documents/hrvtrans/durban/56207.htm,17,Human Rights Violation Hearings,Durban,56207,1996-05-10,nan,-13.482202,6.5278425,2
